# Energy z_(mm) Energy_Dep Net_Charge
2e+08 0 6.30973e-26 -0.0003
2e+08 1 0 0
2e+08 2 0 0
2e+08 3 0 0
2e+08 4 0 0
2e+08 5 0 0
2e+08 6 0 0
2e+08 7 0 0
2e+08 8 0 0
2e+08 9 0 0
2e+08 10 0 0
2e+08 11 0 0
2e+08 12 0 0
2e+08 13 0 0
2e+08 14 0 0
2e+08 15 0 0
2e+08 16 0 0
2e+08 17 0 0
2e+08 18 0 0
2e+08 19 0 0
2e+08 20 0 0
2e+08 21 0 0
2e+08 22 0 0
2e+08 23 0 0
2e+08 24 0 0
2e+08 25 0 0
2e+08 26 0 0
2e+08 27 0 0
2e+08 28 0 0
2e+08 29 0 0
2e+08 30 0 0
2e+08 31 0 0
2e+08 32 0 0
2e+08 33 0 0
2e+08 34 0 0
2e+08 35 0 0
2e+08 36 0 0
2e+08 37 0 0
2e+08 38 0 0
2e+08 39 0 0
2e+08 40 0 0
2e+08 41 0 0
2e+08 42 0 0
2e+08 43 0 0
2e+08 44 0 0
2e+08 45 0 0
2e+08 46 0 0
2e+08 47 0 0
2e+08 48 0 0
2e+08 49 0 0
2e+08 50 0 0
2e+08 51 0 0
2e+08 52 0 0
2e+08 53 0 0
2e+08 54 0 0
2e+08 55 0 0
2e+08 56 0 0
2e+08 57 0 0
2e+08 58 0 0
2e+08 59 0 0
2e+08 60 0 0
2e+08 61 0 0
2e+08 62 0 0
2e+08 63 0 0
2e+08 64 0 0
2e+08 65 0 0
2e+08 66 0 0
2e+08 67 0 0
2e+08 68 0 0
2e+08 69 0 0
2e+08 70 0 0
2e+08 71 0 0
2e+08 72 0 0
2e+08 73 0 0
2e+08 74 0 0
2e+08 75 0 0
2e+08 76 0 0
2e+08 77 0 0
2e+08 78 0 0
2e+08 79 0 0
2e+08 80 0 0
2e+08 81 0 0
2e+08 82 0 0
2e+08 83 0 0
2e+08 84 0 0
2e+08 85 0 0
2e+08 86 0 0
2e+08 87 0 0
2e+08 88 0 0
2e+08 89 0 0
2e+08 90 0 0
2e+08 91 0 0
2e+08 92 0 0
2e+08 93 0 0
2e+08 94 0 0
2e+08 95 0 0
2e+08 96 0 0
2e+08 97 0 0
2e+08 98 0 0
2e+08 99 0 0
2e+08 100 0 0
2e+08 101 0 0
2e+08 102 0 0
2e+08 103 0 0
2e+08 104 0 0
2e+08 105 0 0
2e+08 106 0 0
2e+08 107 0 0
2e+08 108 0 0
2e+08 109 0 0
2e+08 110 0 0
2e+08 111 0 0
2e+08 112 0 0
2e+08 113 0 0
2e+08 114 0 0
2e+08 115 0 0
2e+08 116 0 0
2e+08 117 0 0
2e+08 118 0 0
2e+08 119 0 0
2e+08 120 0 0
2e+08 121 0 0
2e+08 122 0 0
2e+08 123 0 0
2e+08 124 0 0
2e+08 125 0 0
2e+08 126 0 0
2e+08 127 0 0
2e+08 128 0 0
2e+08 129 0 0
2e+08 130 0 0
2e+08 131 0 0
2e+08 132 9.72453e-27 0.0001
2e+08 133 0 0
2e+08 134 0 0
2e+08 135 0 0
2e+08 136 0 0
2e+08 137 0 0
2e+08 138 0 0
2e+08 139 0 0
2e+08 140 0 0
2e+08 141 0 0
2e+08 142 0 0
2e+08 143 0 0
2e+08 144 0 0
2e+08 145 0 0
2e+08 146 0 0
2e+08 147 0 0
2e+08 148 0 0
2e+08 149 0 0
2e+08 150 0 0
2e+08 151 0 0
2e+08 152 0 0
2e+08 153 0 0
2e+08 154 0 0
2e+08 155 0 0
2e+08 156 0 0
2e+08 157 0 0
2e+08 158 0 0
2e+08 159 0 0
2e+08 160 0 0
2e+08 161 0 0
2e+08 162 0 0
2e+08 163 0 0
2e+08 164 0 0
